date,crude_ret1d,crude_ret5d,gold_ret1d,gold_ret5d,copper_ret1d,copper_ret5d,dxy_ret1d,dxy_ret5d,sp500_ret1d,sp500_ret5d,copper_vol21d,cli_china,cli_usa,DFII10,USDCNY
2021-11-23,0.02254523832105626,-0.028383195107863912,-0.01253672917798454,-0.0385519551480602,0.006349919772657531,0.014803289394510921,-0.00010365445204563173,0.005924862263030128,0.001655761383194232,-0.0021720922814782995,0.20311224734886843,99.46453,101.1417,-0.95,6.384300231933594
2021-11-24,-0.0014022643738220708,0.0003827595491303626,0.00033634689746619983,-0.04686389135932956,0.0077690242978962765,0.042384174725405455,0.003620740360880781,0.010484286790782171,0.0022912237766679056,0.002724146978085429,0.19967981254776224,99.46453,101.1417,-0.97,6.3907999992370605
2021-11-26,-0.139985179881994,-0.14786327323956439,0.0006724229725980635,-0.0415274819732403,-0.04039689262802093,-0.006634507430336001,-0.007774880075842816,0.005740196633456485,-0.022987011159321113,-0.02364192892140693,0.23187362942845943,99.46453,101.1417,-1.07,6.386000156402588
2021-11-29,0.026069476951239068,-0.08426758733288242,-0.0016818032430743202,-0.03792935863700375,0.01287945681614322,-0.016351699450245727,0.0025983490117962305,0.0028064739446795883,0.013113836082823127,-0.009128448233596487,0.23290669534004538,99.46453,101.1417,-1.02,6.392000198364258
2021-11-30,-0.05540235037902086,-0.1481750793625416,-0.0048933268890927195,-0.018103089440087317,-0.013697258099476306,-0.02709574984080021,-0.003639566069002065,-0.005299011224213501,-0.019143381187848973,-0.025069571104484822,0.23264819014479257,99.46453,101.1417,-1.07,6.38700008392334
2021-12-01,-0.00926003748343529,-0.17998035516703315,0.004500457702866889,-0.0010659025592358873,-0.007155021033390607,-0.04060069064684835,0.0006249238664342016,-0.004570432905733668,-0.01188554145795706,-0.038610873945636115,0.23205524572829994,99.22209,101.0959,-1.01,6.3632001876831055
2021-12-02,0.014083678040478276,-0.1644944127527328,-0.011800393739535231,-0.013202643196237318,0.012051826730420823,-0.0363178882143238,0.0008324925190246191,-0.00735868074758983,0.014094638396057846,-0.026807459326246175,0.23612101077576864,99.22209,101.0959,-1.03,6.367300033569336
2021-12-03,-0.0036155185499371356,-0.028124751420675942,0.01202489953057917,-0.001850166638256212,-0.007588569722410954,-0.0035095653087138245,-0.00010397406340612037,0.00031222526484686597,-0.008484455141738678,-0.01230490330866374,0.2345398049777961,99.22209,101.0959,-1.08,6.3755998611450195
2021-12-06,0.04759639747281241,-0.006597830899102597,-0.002528446353358582,-0.002696809748540474,0.016389022124857044,0.0,0.0017670413174339927,-0.0005190824295153718,0.011662599309685717,-0.01375614008180115,0.24187702979917686,99.22209,101.0959,-1.01,6.37529993057251
2021-12-07,0.03617753821695757,0.08498205769687583,0.002865076323460336,0.0050615934640125815,0.00023053084914304023,0.013927788948619346,0.000830497603366176,0.003950981242852869,0.02049560318625332,0.025882844292301144,0.2411450047770576,99.22209,101.0959,-0.99,6.374800205230713
2021-12-08,0.004293304160383649,0.09853539934069477,0.00044870938953955886,0.0010098451506852513,0.012143573592484413,0.03322638357449437,-0.0049932835631123496,-0.0016672261866936822,0.0030805355865854978,0.0408489213368437,0.24071598734147137,99.22209,101.0959,-1.0,6.366300106048584
2021-12-09,-0.019819185201463085,0.06463253609875341,-0.004946636746660182,0.0078636021435603,-0.013989420272332742,0.007185136571740802,0.0039550141194206745,0.0014552954137023733,-0.007206988232523415,0.01954729470826244,0.24480376327909073,99.22209,101.0959,-0.98,6.343699932098389
